gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
202001180HOU,Houston Rockets,40,90,12,37,23,29,11,20,35
202001180MIN,Minnesota Timberwolves,38,94,14,50,22,27,12,17,37
202001180NOP,New Orleans Pelicans,46,86,15,41,23,36,12,21,36
202001180NYK,New York Knicks,35,88,6,25,11,18,12,14,36
202001180OKC,Oklahoma City Thunder,43,83,7,22,26,36,12,12,36
202001180UTA,Utah Jazz,43,85,14,42,23,24,10,8,37
202001190DEN,Denver Nuggets,41,88,3,23,22,32,12,9,32
202001190SAS,San Antonio Spurs,36,85,12,33,23,24,9,11,34
202001200ATL,Atlanta Hawks,41,83,12,33,23,33,9,23,41
202001200BOS,Boston Celtics,52,93,16,34,19,29,14,12,34
202001200BRK,Brooklyn Nets,39,81,11,29,22,34,13,22,34
202001200CHO,Charlotte Hornets,29,76,10,33,15,20,9,18,30
202001200CLE,Cleveland Cavaliers,32,94,11,33,11,17,16,10,37
202001200HOU,Houston Rockets,43,97,9,45,12,17,9,11,34
202001200MEM,Memphis Grizzlies,46,103,9,33,15,21,15,14,36
202001200MIA,Miami Heat,42,83,16,42,18,22,5,21,37
202001200MIL,Milwaukee Bucks,45,77,11,26,10,23,3,23,45
202001200MIN,Minnesota Timberwolves,38,91,13,42,11,14,11,9,31
202001200PHO,Phoenix Suns,42,80,8,22,26,30,8,14,35
202001200POR,Portland Trail Blazers,44,100,14,44,27,30,12,12,42
202001200UTA,Utah Jazz,47,87,12,31,12,12,11,21,42
202001200WAS,Washington Wizards,42,82,9,24,13,16,6,19,38
202001210DAL,Dallas Mavericks,39,91,12,43,17,24,12,12,37
202001220ATL,Atlanta Hawks,36,102,11,35,19,23,23,15,40
202001220BOS,Boston Celtics,45,89,14,32,15,20,9,9,35
202001220CHI,Chicago Bulls,39,84,9,30,30,37,12,12,38
202001220DET,Detroit Pistons,39,73,12,29,37,44,3,17,45
202001220GSW,Golden State Warriors,35,88,6,23,20,24,11,8,26
202001220HOU,Houston Rockets,42,89,13,29,24,28,18,17,35
202001220MIA,Miami Heat,43,85,17,33,31,36,6,16,37
202001220NOP,New Orleans Pelicans,39,84,14,36,25,32,8,14,33
202001220NYK,New York Knicks,36,88,11,34,9,13,13,17,34
202001220ORL,Orlando Magic,44,92,14,35,12,16,11,14,28
202001220PHO,Phoenix Suns,30,84,4,20,23,26,9,13,35
202001220TOR,Toronto Raptors,40,86,13,33,14,21,8,12,45
202001230BRK,Brooklyn Nets,40,91,21,46,12,15,8,16,33
202001230CLE,Cleveland Cavaliers,44,96,11,33,13,17,10,8,26
202001230POR,Portland Trail Blazers,46,91,21,39,12,15,11,12,32
202001240CHI,Chicago Bulls,31,79,8,37,11,14,8,19,35
202001240CHO,Charlotte Hornets,32,86,14,39,25,30,8,13,31
202001240DET,Detroit Pistons,39,91,11,32,23,31,10,7,27
202001240GSW,Golden State Warriors,40,82,19,39,19,23,7,20,31
